code;description;default_value;dictionary_id
C_SYSTEM-D_FA.fa-angellist;fa-angellist css class;fa-angellist;3
C_SYSTEM-D_FA.fa-area-chart;fa-area-chart css class;fa-area-chart;3
C_SYSTEM-D_FA.fa-at;fa-at css class;fa-at;3
C_SYSTEM-D_FA.fa-bell-slash;fa-bell-slash css class;fa-bell-slash;3
C_SYSTEM-D_FA.fa-bell-slash-o;fa-bell-slash-o css class;fa-bell-slash-o;3
C_SYSTEM-D_FA.fa-bicycle;fa-bicycle css class;fa-bicycle;3
C_SYSTEM-D_FA.fa-binoculars;fa-binoculars css class;fa-binoculars;3
C_SYSTEM-D_FA.fa-birthday-cake;fa-birthday-cake css class;fa-birthday-cake;3
C_SYSTEM-D_FA.fa-bus;fa-bus css class;fa-bus;3
C_SYSTEM-D_FA.fa-calculator;fa-calculator css class;fa-calculator;3
C_SYSTEM-D_FA.fa-cc;fa-cc css class;fa-cc;3
C_SYSTEM-D_FA.fa-cc-amex;fa-cc-amex css class;fa-cc-amex;3
C_SYSTEM-D_FA.fa-cc-discover;fa-cc-discover css class;fa-cc-discover;3
C_SYSTEM-D_FA.fa-cc-mastercard;fa-cc-mastercard css class;fa-cc-mastercard;3
C_SYSTEM-D_FA.fa-cc-paypal;fa-cc-paypal css class;fa-cc-paypal;3
C_SYSTEM-D_FA.fa-cc-stripe;fa-cc-stripe css class;fa-cc-stripe;3
C_SYSTEM-D_FA.fa-cc-visa;fa-cc-visa css class;fa-cc-visa;3
C_SYSTEM-D_FA.fa-copyright;fa-copyright css class;fa-copyright;3
C_SYSTEM-D_FA.fa-eyedropper;fa-eyedropper css class;fa-eyedropper;3
C_SYSTEM-D_FA.fa-futbol-o;fa-futbol-o css class;fa-futbol-o;3
C_SYSTEM-D_FA.fa-google-wallet;fa-google-wallet css class;fa-google-wallet;3
C_SYSTEM-D_FA.fa-ils;fa-ils css class;fa-ils;3
C_SYSTEM-D_FA.fa-ioxhost;fa-ioxhost css class;fa-ioxhost;3
C_SYSTEM-D_FA.fa-lastfm;fa-lastfm css class;fa-lastfm;3
C_SYSTEM-D_FA.fa-lastfm-square;fa-lastfm-square css class;fa-lastfm-square;3
C_SYSTEM-D_FA.fa-line-chart;fa-line-chart css class;fa-line-chart;3
C_SYSTEM-D_FA.fa-meanpath;fa-meanpath css class;fa-meanpath;3
C_SYSTEM-D_FA.fa-newspaper-o;fa-newspaper-o css class;fa-newspaper-o;3
C_SYSTEM-D_FA.fa-paint-brush;fa-paint-brush css class;fa-paint-brush;3
C_SYSTEM-D_FA.fa-paypal;fa-paypal css class;fa-paypal;3
C_SYSTEM-D_FA.fa-pie-chart;fa-pie-chart css class;fa-pie-chart;3
