id;code;description;default_value
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-angellist;fa-angellist css class;fa-angellist
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-area-chart;fa-area-chart css class;fa-area-chart
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-at;fa-at css class;fa-at
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bell-slash;fa-bell-slash css class;fa-bell-slash
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bell-slash-o;fa-bell-slash-o css class;fa-bell-slash-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bicycle;fa-bicycle css class;fa-bicycle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-binoculars;fa-binoculars css class;fa-binoculars
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-birthday-cake;fa-birthday-cake css class;fa-birthday-cake
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-bus;fa-bus css class;fa-bus
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-calculator;fa-calculator css class;fa-calculator
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cc;fa-cc css class;fa-cc
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cc-amex;fa-cc-amex css class;fa-cc-amex
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cc-discover;fa-cc-discover css class;fa-cc-discover
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cc-mastercard;fa-cc-mastercard css class;fa-cc-mastercard
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cc-paypal;fa-cc-paypal css class;fa-cc-paypal
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cc-stripe;fa-cc-stripe css class;fa-cc-stripe
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-cc-visa;fa-cc-visa css class;fa-cc-visa
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-copyright;fa-copyright css class;fa-copyright
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-eyedropper;fa-eyedropper css class;fa-eyedropper
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-futbol-o;fa-futbol-o css class;fa-futbol-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-google-wallet;fa-google-wallet css class;fa-google-wallet
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-ils;fa-ils css class;fa-ils
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-ioxhost;fa-ioxhost css class;fa-ioxhost
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-lastfm;fa-lastfm css class;fa-lastfm
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-lastfm-square;fa-lastfm-square css class;fa-lastfm-square
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-line-chart;fa-line-chart css class;fa-line-chart
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-meanpath;fa-meanpath css class;fa-meanpath
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-newspaper-o;fa-newspaper-o css class;fa-newspaper-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-paint-brush;fa-paint-brush css class;fa-paint-brush
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-paypal;fa-paypal css class;fa-paypal
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-pie-chart;fa-pie-chart css class;fa-pie-chart
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-plug;fa-plug css class;fa-plug
